Unnamed: 0,Transaction_Id,Transaction Date,Customer_Id,Quantity,Price,Payment Method,Transaction Status,Products
1,T0002,10-Feb-20,C3156,469,-445.34,Credit Card,Pending,Coffee Machine
2,T0003,2025-02-30,C2919,-4,810.99,Credit Card,Completed,Tablet
3,T0004,17-Aug-20,C3009,-7,868.61,PayPal,Pending,Tablet
4,T0005,2025-02-30,C3488,-10,-763.12,PayPal,Completed,Coffee Machine
9,T0010,2025-02-30,C2846,-1,404.89,Credit Card,Pending,Laptop
10,T0011,2023-13-01,C1004,10,-600.84,PayPal ,Completed,Laptop
13,T0014,19-Jun-20,C2992,696,905.51,Credit Card,Failed,Coffee Machine
14,T0015,2025-02-30,C3879,-2,523.84,Credit Card,Pending,Headphones
16,T0017,7-Jul-20,C3776,236,-94.56,Credit Card,Pending,Smartphone
17,T0018,2025-02-30,C847,7,-108.44,Credit Card,Completed,Coffee Machine
20,T0021,2025-02-30,C1137,856,-488.86,Credit Card,Failed,Coffee Machine
22,T0023,2025-02-30,C4877,538,-733.83,PayPal ,Completed,Tablet
26,T73466,2025-02-30,C2702,-5,555.61,Credit Card,Completed,Coffee Machine
27,T0028,2025-02-30,C3025,7,797.34,PayPal,Completed,Smartphone
28,T0029,2025-02-30,C1345,-5,-295.77,PayPal,Pending,Smartphone
30,T0031,17-Jul-24,C3672,-5,787.99,Credit Card,Completed,Tablet
32,T0033,2025-02-30,C1844,-3,546.78,PayPal,Failed,Coffee Machine
33,T0034,2025-02-30,C1406,3,-120.68,Credit Card,Completed,Coffee Machine
34,T0035,25-Jul-22,C2579,485,970.28,Credit Card,Completed,Coffee Machine
35,T0036,2023-13-01,C292,2,-596.43,PayPal,Completed,Laptop
36,T0037,2023-13-01,C2492,-10,711.71,PayPal,Pending,Smartphone
44,T0045,2023-13-01,C3393,-5,653.39,Credit Card,Pending,Smartphone
45,T0046,2025-02-30,C2797,825,-788.77,PayPal,Completed,Coffee Machine
47,T0048,2025-02-30,C987,-5,-527.1,Credit Card,Pending,Headphones
51,T0052,20-Dec-22,C4029,839,-756.33,PayPal ,Pending,Headphones
52,T0053,22-Jul-22,C1077,559,154.19,Credit Card,Failed,Laptop
54,T0055,17-Apr-24,C2474,867,130.23,Credit Card,Pending,Coffee Machine
55,T0056,2025-02-30,C4020,153,-500.92,PayPal,Completed,Coffee Machine
57,T0058,2023-13-01,C3286,469,-424.32,PayPal,Completed,Smartphone
60,T0061,2023-13-01,C3123,6,-692.7,Credit Card,Completed,Headphones
64,T0065,2023-13-01,C4884,-6,261.1,PayPal ,Pending,Smartphone
65,T0066,2025-02-30,C4996,399,416.86,PayPal,Pending,Laptop
67,T0068,2023-13-01,C4424,222,-893.06,PayPal,Failed,Tablet
68,T0069,3-Mar-21,C1757,-5,-750.98,Credit Card,Completed,Headphones
69,T0070,2025-02-30,C4445,787,-197.83,PayPal ,Completed,Coffee Machine
74,T0075,2025-02-30,C3892,6,310.01,PayPal,Pending,Laptop
78,T0079,2025-02-30,C4545,10,-523.97,PayPal,Pending,Laptop
80,T0081,28-Feb-23,C3687,8,-845.03,PayPal,Completed,Smartphone
82,T0083,2023-13-01,C2616,7,447.17,PayPal,Completed,Tablet
83,T0084,2023-13-01,C722,4,811.19,PayPal ,Failed,Tablet
87,T0088,2025-02-30,C4004,9,-381,PayPal,Completed,Headphones
94,T0095,2025-02-30,C529,2,-149.55,Credit Card,Pending,Laptop
95,T0096,2023-13-01,C1336,198,-315.08,Cash,Completed,Coffee Machine
97,T0098,2023-13-01,C1341,-9,-724.92,Credit Card,Completed,Headphones
98,T0099,2025-02-30,C3685,909,-585.48,PayPal,Completed,Smartphone
100,T0101,2023-13-01,C2318,367,272.64,Credit Card,Failed,Tablet
102,T0103,4-Dec-22,C327,-10,-963.46,PayPal ,Completed,Tablet
111,T0112,6-Sep-24,C4249,723,90.35,Credit Card,Failed,Laptop
112,T0113,8-Apr-20,C2894,-8,86.42,PayPal,Completed,Headphones
115,T0116,2025-02-30,C3190,787,-104.6,Credit Card,Completed,Smartphone
117,T0118,2025-02-30,C2778,-6,-276.43,Credit Card,Completed,Headphones
123,T0124,2023-13-01,C2837,-10,-463.14,PayPal,Failed,Tablet
130,T0131,2025-02-30,C2556,1,-177.14,Credit Card,Completed,Laptop
131,T0132,20-Aug-20,C1736,-10,-63.47,PayPal,Completed,Laptop
132,T0133,12-Jul-21,C2977,137,-97.99,Credit Card,Failed,Laptop
134,T0135,2025-02-30,C820,-8,999.68,Credit Card,Failed,Laptop
136,T0137,4-Aug-22,C4112,322,-557.44,PayPal ,Completed,Headphones
141,T77766,2023-13-01,C4226,-7,862.48,Credit Card,Completed,Tablet
142,T0143,28-Jun-22,C3555,3,625.38,Credit Card,Completed,Smartphone
143,T0144,3-Feb-20,C4891,8,375.97,PayPal ,Completed,Coffee Machine
147,T0148,2023-13-01,C513,778,-887.29,Credit Card,Pending,Smartphone
149,T0150,2025-02-30,C3843,7,497.41,PayPal,Completed,Coffee Machine
150,T0151,2025-02-30,C4252,946,234.97,PayPal,Completed,Laptop
152,T0153,2023-13-01,C1021,222,734.99,PayPal,Completed,Smartphone
154,T0155,23-Jan-20,C1382,-6,-480.09,PayPal ,Completed,Coffee Machine
156,T0157,1-Feb-21,C2917,304,863.77,Credit Card,Pending,Coffee Machine
160,T0161,2025-02-30,C4414,-4,864.05,PayPal,Failed,Coffee Machine
161,T17515,25-Nov-24,C3287,-9,850.5,Credit Card,Pending,Smartphone
163,T0164,2023-13-01,C2345,10,-913.2,Credit Card,Completed,Coffee Machine
165,T0166,2025-02-30,C222,3,-818.04,PayPal ,Completed,Coffee Machine
166,T0167,5-Aug-21,C2395,547,-884.36,Credit Card,Pending,Coffee Machine
167,T0168,2023-13-01,C2741,-9,-963.4,PayPal,Completed,Headphones
168,T0169,2025-02-30,C1460,-9,-699.57,Cash,Completed,Headphones
169,T0170,2023-13-01,C872,10,921.49,PayPal,Pending,Tablet
171,T0172,2023-13-01,C3007,-10,-908.64,PayPal,Completed,Headphones
172,T0173,2025-02-30,C2195,267,996.89,Credit Card,Completed,Coffee Machine
174,T0175,26-Sep-20,C4393,505,213.46,Cash,Completed,Laptop
176,T0177,4-Jan-25,C3662,-4,460.83,PayPal ,Completed,Tablet
178,T0179,19-Aug-21,C4160,622,121.82,Cash,Completed,Tablet
180,T0181,4-May-22,C887,359,365.48,Credit Card,Failed,Smartphone
181,T0182,24-Jul-21,C4140,916,516.11,Credit Card,Pending,Coffee Machine
183,T0184,2023-13-01,C3954,4,501.18,Credit Card,Completed,Headphones
184,T0185,14-May-24,C4308,779,388.04,PayPal,Completed,Smartphone
187,T0188,12-Aug-23,C1159,-2,-567.56,Credit Card,Pending,Laptop
188,T0189,19-Aug-22,C047,10,252.64,PayPal ,Completed,Smartphone
190,T0191,2023-13-01,C4984,-6,-770.69,Credit Card,Completed,Laptop
192,T0193,2025-02-30,C3191,106,330.3,Cash,Completed,Coffee Machine
193,T0194,2025-02-30,C751,-4,-225.28,Credit Card,Pending,Headphones
194,T0195,2025-02-30,C4563,279,-845.9,PayPal,Failed,Tablet
197,T0198,2023-13-01,C199,826,-895.66,PayPal,Completed,Headphones
199,T0200,2025-02-30,C1561,9,428.33,PayPal,Completed,Laptop
200,T0201,2023-13-01,C4339,-4,305.68,PayPal,Completed,Laptop
206,T0207,2025-02-30,C2862,-9,423.1,PayPal,Pending,Laptop
211,T0212,2025-02-30,C3724,938,345.74,PayPal ,Completed,Coffee Machine
212,T0213,2025-02-30,C2547,7,415.8,Credit Card,Completed,Headphones
216,T0217,2023-13-01,C184,698,-721.69,PayPal,Completed,Smartphone
218,T0219,2023-13-01,C3102,-4,275.07,Cash,Completed,Laptop
220,T0221,8-Mar-20,C1613,-3,58.03,Credit Card,Failed,Coffee Machine
224,T0225,18-Apr-23,C298,10,282.01,PayPal,Failed,Tablet
229,T0230,7-Jun-23,C1387,-8,933.26,PayPal,Completed,nan
231,T0232,2025-02-30,C2304,802,-513.5,PayPal ,Completed,Smartphone
233,T0234,2025-02-30,C4286,585,808.55,Credit Card,Completed,Headphones
238,T0239,2025-02-30,C3416,807,-267.2,Cash,Completed,Coffee Machine
240,T0241,9-Dec-22,C2398,-5,643.71,PayPal,Failed,Coffee Machine
245,T0246,2025-02-30,C3759,1,-641.51,Credit Card,Completed,Headphones
246,T0247,2023-13-01,C4707,767,-902.91,PayPal,Completed,Headphones
247,T0248,10-Jul-24,C2496,431,242.13,PayPal,Failed,Headphones
250,T0251,17-Apr-23,C3631,212,873.74,Credit Card,Failed,Headphones
251,T0252,1-Mar-22,C4052,-2,-162.85,Credit Card,Completed,Laptop
252,T0253,22-Mar-24,C1374,-9,115.68,Cash,Completed,Laptop
253,T0254,14-Nov-21,C2859,165,115.37,Credit Card,Completed,Coffee Machine
254,T0255,12-Jan-21,C4435,-9,878.33,Credit Card,Failed,Laptop
256,T0257,2025-02-30,C4274,6,702.24,PayPal,Completed,Coffee Machine
258,T0259,2025-02-30,C3240,3,-349.61,Credit Card,Pending,Smartphone
259,T0260,2025-02-30,C3973,383,-368.46,Credit Card,Completed,Coffee Machine
262,T0263,2025-02-30,C3570,952,-111.49,PayPal ,Pending,Laptop
263,T0264,2025-02-30,C4190,736,-264.4,Credit Card,Pending,Coffee Machine
264,T0265,2023-13-01,C2978,1,167.71,PayPal ,Completed,Tablet
265,T0266,2023-13-01,C1796,3,900.39,Cash,Failed,Headphones
266,T0267,18-Jan-21,C4543,-7,699.4,Cash,Completed,Coffee Machine
267,T0268,1-Dec-23,C2381,7,-617.89,PayPal,Failed,Laptop
268,T0269,11-Aug-24,C3990,-8,810.44,Credit Card,Completed,Coffee Machine
272,T0273,2023-13-01,C1922,611,-903.92,Credit Card,Completed,Smartphone
273,T0274,8-Feb-23,C2934,8,58.9,PayPal ,Failed,Coffee Machine
274,T0275,2025-02-30,C1658,853,-930.53,PayPal ,Completed,Headphones
275,T0276,2023-13-01,C3811,-6,-767.7,Cash,Completed,Coffee Machine
278,T0279,2023-13-01,C294,7,68.68,Credit Card,Pending,Tablet
282,T0283,2025-02-30,C3173,-5,161.87,Credit Card,Completed,Table
283,T0284,4-Oct-22,C1301,222,698.66,Cash,Pending,Laptop
284,T0285,2023-13-01,C2052,534,266.92,Credit Card,Failed,Laptop
287,T0288,2023-13-01,C4094,-3,626.42,PayPal,Completed,Tablet
289,T0290,2025-02-30,C4420,995,-919.58,Credit Card,Failed,Smartphone
293,T0294,24-Jul-23,C1719,3,581.88,Credit Card,Completed,Laptop
294,T0295,2023-13-01,C3275,7,-759.65,Cash,Completed,Coffee Machine
